序號,學校代碼,公私立,體制,學校名稱,學校英文名稱,職稱,姓名,縣市別,第三級行政區,郵遞區號,學校地址,學校總機,學校傳真,網址
70,1023,私立,技專校院,南臺學校財團法人南臺科技大學,Southern Taiwan University of Science and Technology,校長,盧燈茂,臺南市,永康區,710301,臺南市永康區南臺街1號,06-253-3131,06-254-3031,http://www.stust.edu.tw
71,1024,私立,技專校院,崑山科技大學,Kun Shan University,校長,李天祥,臺南市,永康區,710303,臺南市永康區崑大路195號,06-272-7175,06-205-9929,https://www.ksu.edu.tw/
72,1025,私立,技專校院,嘉藥學校財團法人嘉南藥理大學,Chia Nan University of Pharmacy & Science,校長,李孫榮,臺南市,仁德區,71710,臺南市仁德區二仁路一段60號,06-266-4911,06-266-8920,https://www.cnu.edu.tw/
73,1026,私立,技專校院,樹德科技大學,Shu-Te University,校長,陳清燿,高雄市,燕巢區,82445,高雄市燕巢區橫山路59號,07-615-8000,07-615-8999,http://www.stu.edu.tw/
74,1027,私立,一般大學,慈濟學校財團法人慈濟大學,Tzu Chi University,校長,劉怡均,花蓮縣,花蓮市,970374,花蓮市中央路3段701號,03-856-5301,03-856-2500,http://www.tcu.edu.tw
75,1028,私立,一般大學,臺北醫學大學,Taipei Medical University,校長,林建煌,臺北市,信義區,110301,臺北市信義區吳興街250號,02-2736-1661,02-2378-7795,http://www.tmu.edu.tw
76,1029,私立,一般大學,中山醫學大學,Chung Shan Medical University,校長,黃建寧,臺中市,南　區,402306,臺中市南區建國北路1段110號,04-2473-0022,04-2475-9950,http://www.csmu.edu.tw
77,1030,私立,技專校院,龍華科技大學,Lunghwa University of Science and Technology,校長,葛自祥,桃園市,龜山區,33306,桃園市龜山區萬壽路一段300號,02-8209-3211,02-8209-4650,http://www.lhu.edu.tw
78,1031,私立,技專校院,輔英科技大學,Fooyin University,校長,林惠賢,高雄市,大寮區,83102,高雄市大寮區進學路151號,07-781-1151,07-782-8805,https://www.fy.edu.tw/
79,1032,私立,技專校院,明新學校財團法人明新科技大學,Minghsin University of Science and Technology,校長,劉國偉,新竹縣,新豐鄉,30401,新竹縣新豐鄉新興路1號,03-559-3142,03-559-5142,http://www.must.edu.tw
80,1033,私立,一般大學,長榮大學,Chang Jung Christian University,校長,李泳龍,臺南市,歸仁區,711301,臺南市歸仁區長大路1號,06-278-5123,06-278-5555,http://www.cjcu.edu.tw
81,1034,私立,技專校院,弘光科技大學,Hungkuang University,校長,黃月桂,臺中市,沙鹿區,433304,臺中市沙鹿區晉江里臺灣大道六段1018號,04-2631-8652,04-2631-0744,http://www.hk.edu.tw/
82,1035,私立,一般大學,中國醫藥大學,China Medical University,校長,洪明奇,臺中市,北屯區,406040,臺中市北屯區經貿路一段100號,04-2205-3366,04-2206-0248,http://www.cmu.edu.tw
83,1036,私立,技專校院,健行學校財團法人健行科技大學,Chien Hsin University of Science and Technology,校長,李大偉,桃園市,中壢區,320312,桃園市中壢區健行路229號,03-458-1196,無,https://www.uch.edu.tw/index.htm
84,1037,私立,技專校院,正修學校財團法人正修科技大學,Cheng Shiu University,校長,龔瑞璋,高雄市,鳥松區,833301,高雄市鳥松區澄清路840號,07-735-8800,07-731-5367,https://www.csu.edu.tw
85,1038,私立,技專校院,萬能學校財團法人萬能科技大學,Vanung University,校長,莊暢,桃園市,中壢區,320313,桃園市中壢區萬能路1號,03-451-5811,03-451-3786,https://www.vnu.edu.tw/
86,1039,私立,一般大學,玄奘大學,Hsuan Chuang University,校長,簡紹琦,新竹市,新竹市,300102,新竹市香山區玄奘路48號,03-530-2255,03-539-1226,http://www.hcu.edu.tw
87,1040,私立,技專校院,建國科技大學,Chienkuo Technology University,校長,江金山,彰化縣,彰化市,50094,彰化縣彰化市介壽北路1號,04-711-1111,04-711-1171,https://www.ctu.edu.tw/
88,1041,私立,技專校院,明志科技大學,Ming Chi University of Technology,校長,劉祖華,新北市,泰山區,24301,新北市泰山區貴子里工專路84號,02-2908-9899,02-2904-1914,http://www.mcut.edu.tw
89,1042,私立,技專校院,高苑科技大學,Kao Yuan University,校長,"出缺
代理",高雄市,路竹區,82151,高雄市路竹區中山路1821號,07-607-7777,07-607-7788,https://www.kyu.edu.tw/kyunew4/index3.html
90,1043,私立,技專校院,大仁科技大學,Tajen University,校長,郭代璜,屏東縣,鹽埔鄉,90741,屏東縣鹽埔鄉維新路20號,08-762-4002,08-762-3924,http://www.tajen.edu.tw/
91,1044,私立,技專校院,聖約翰科技大學,St. John’s University,校長,"張文宇
代理",新北市,淡水區,25135,新北市淡水區淡金路四段499號,02-2801-3131,02-2801-3021,http://www.sju.edu.tw
92,1045,私立,技專校院,嶺東科技大學,Ling Tung University,校長,趙志揚,臺中市,南屯區,408284,臺中市南屯區嶺東路1號,04-2389-2088,04-2389-5293,http://www.ltu.edu.tw/
93,1046,私立,技專校院,中國科技大學,China University of Technology,校長,唐彥博,臺北市,文山區,11695,臺北市文山區興隆路三段56號,02-2931-3416,02-8931-8847,https://www.cute.edu.tw/
94,1047,私立,技專校院,中臺科技大學,Central Taiwan University of Science and Technology,校長,陳錦杏,臺中市,北屯區,40601,臺中市北屯區廍子里10鄰廍子路666號,04-2239-1647,04-2239-5751,https://www.ctust.edu.tw/
95,1048,私立,一般大學,亞洲大學,Asia University,校長,蔡進發,臺中市,霧峰區,413305,臺中市霧峰區柳豐路500號,04-2332-3456,04-2331-6699,http://www.asia.edu.tw
96,1049,私立,一般大學,開南大學,Kainan University,校長,林玥秀,桃園市,蘆竹區,338103,桃園市蘆竹區開南路1號,03-341-2500,03-341-2897,http://www.knu.edu.tw
97,1050,私立,一般大學,佛光大學,Fo Guang University,校長,何卓飛,宜蘭縣,礁溪鄉,262307,宜蘭縣礁溪鄉林美村林尾路160號,03-987-1000,03-987-4815,http://www.fgu.edu.tw
98,1051,私立,技專校院,臺南家專學校財團法人臺南應用科技大學,Tainan School of Home Economics Foundation at Tainan University of Technology,校長,楊正宏,臺南市,永康區,71002,臺南市永康區中正路529號,06-253-2106,06-254-9527,http://www.tut.edu.tw
99,1052,私立,技專校院,遠東科技大學,Far East University,校長,王榮聖,臺南市,新市區,74448,臺南市新市區中華路49號,06-597-9566,06-597-7050,http://www.feu.edu.tw/web/
100,1053,私立,技專校院,光宇學校財團法人元培醫事科技大學,Yuanpei University of Medical Technology,校長,王綮慷,新竹市,香山區,30015,新竹市元培街306號,03-538-1183,03-538-5353,https://www.ypu.edu.tw/index.php
101,1054,私立,技專校院,景文科技大學,Jinwen University of Science and Technology,校長,于第,新北市,新店區,23154,新北市新店區安忠路99號,02-8212-2000,02-8212-2199,https://www.just.edu.tw
102,1055,私立,技專校院,中華醫事科技大學,Chung Hwa University of Medical Technology,校長,孫逸民,臺南市,仁德區,71703,臺南市仁德區文華一街89號,06-267-1214,06-335-6723,https://www.hwai.edu.tw/index.php
103,1056,私立,技專校院,東南科技大學,Tungnan University,校長,李清吟,新北市,深坑區,22202,新北市深坑區北深路三段152號,02-8662-5859,02-2662-4052,https://www.tnu.edu.tw/
104,1057,私立,技專校院,德明財經科技大學,Takming University of Science and Technology,校長,盧秋玲,臺北市,內湖區,11451,臺北市內湖區環山路一段56號,02-2658-5801,02-2658-2507,http://www.takming.edu.tw/
105,1058,私立,一般大學,明道學校財團法人明道大學,MingDao University,校長,郭秋勲,彰化縣,埤頭鄉,523008,彰化縣埤頭鄉文化路369號,04-887-6660,04-887-2271,http://www.mdu.edu.tw
106,1060,私立,技專校院,南開科技大學,Nan Kai University of Technology,校長,"林正敏
代理",南投縣,草屯鎮,54243,南投縣草屯鎮中正路568號,049-256-3489,049-256-1443,https://www.nkut.edu.tw/index.php
107,1061,私立,技專校院,中華學校財團法人中華科技大學,China University of Science and Technology,校長,郭鐘達,臺北市,南港區,11581,臺北市南港區研究院路三段245號,02-2782-1862,02-2788-9145,http://www.cust.edu.tw
108,1062,私立,技專校院,僑光科技大學,Overseas Chinese University,校長,余致力,臺中市,西屯區,40721,臺中市西屯區僑光路100號,04-2701-6855,04-2707-5420,https://www.ocu.edu.tw/index.php
109,1063,私立,技專校院,廣亞學校財團法人育達科技大學,Yu Da University of Science and Technology,校長,黃榮鵬,苗栗縣,造橋鄉,36143,苗栗縣造橋鄉談文村學府路168號,037-651-188,037-651-201,https://www.ydu.edu.tw/
110,1064,私立,技專校院,美和學校財團法人美和科技大學,Meiho University,校長,王建臺,屏東縣,內埔鄉,91202,屏東縣內埔鄉美和村屏光路23號,08-779-9821,08-779-9711,https://www.meiho.edu.tw/
111,1065,私立,技專校院,吳鳳科技大學,WuFeng University,校長,蔡宏榮,嘉義縣,民雄鄉,62153,嘉義縣民雄鄉建國路二段117號,05-226-7125,05-206-3455,http://www.wfu.edu.tw
112,1066,私立,技專校院,環球學校財團法人環球科技大學,TransWorld University,校長,沈健華,雲林縣,斗六市,64063,雲林縣斗六市嘉東里鎮南路1221號,05-537-0988,05-537-0989,http://www.twu.edu.tw/
113,1067,私立,一般大學,台灣首府學校財團法人台灣首府大學,Taiwan Shoufu University,校長,張淑中,臺南市,麻豆區,721012,臺南市麻豆區南勢里168號,06-571-8888,06-572-2858,https://web.tsu.edu.tw/
114,1068,私立,技專校院,中州學校財團法人中州科技大學,Chung Chou University of Science and Technology,校長,"柴雲清
代理",彰化縣,員林市,51003,彰化縣員林市山腳路三段2巷6號,04-835-9000,04-836-4191,https://www.ccut.edu.tw
115,1069,私立,技專校院,修平學校財團法人修平科技大學,Hsiuping University of Science and Technology,校長,陳建勝,臺中市,大里區,41280,臺中市大里區工業路11號,04-2496-1100,04-2496-1187,http://www.hust.edu.tw/
116,1070,私立,技專校院,長庚學校財團法人長庚科技大學,Chang Gung University of Science and Technology,校長,樓迎統,桃園市,龜山區,33303,桃園市龜山區文化一路261號,03-211-8999,03-211-8866,https://www.cgust.edu.tw
117,1071,私立,技專校院,城市學校財團法人臺北城市科技大學,Taipei City University of Science and Technology,校長,馮美瑜,臺北市,北投區,11202,臺北市北投區學園路2號,02-2892-7154,02-2896-5951,https://www.tpcu.edu.tw/bin/home.php 
118,1072,私立,技專校院,大華學校財團法人敏實科技大學,Minth University of Science and Technology,校長,曾信超,新竹縣,芎林鄉,30740,新竹縣芎林鄉大華路1號,03-592-7700,03-592-6006,http://www.mitust.edu.tw/
119,1073,私立,技專校院,醒吾學校財團法人醒吾科技大學,Hsing Wu University of Science and Technology,校長,陳義文,新北市,林口區,24452,新北市林口區粉寮路一段101號,02-2601-5310,02-2601-0748,https://www.hwu.edu.tw/
120,1075,私立,技專校院,文藻學校財團法人文藻外語大學,Wenzao Ursuline University of Languages,校長,陳美華,高雄市,三民區,80793,高雄市三民區民族一路900號,07-342-6031,07-342-7942,http://www.wzu.edu.tw/
121,1076,私立,技專校院,華夏學校財團法人華夏科技大學,Hwa Hsia University of Technology,校長,陳錫圭,新北市,中和區,23568,新北市中和區工專路111號,02-8941-5100,02-2941-5730,https://www.hwh.edu.tw/bin/hwhhome.php
122,1077,私立,技專校院,慈濟學校財團法人慈濟科技大學,Tzu Chi University of Science and Technology,校長,羅文瑞,花蓮縣,花蓮市,970302,花蓮市建國路二段880號,03-857-2158,03-857-7261,http://www.tcust.edu.tw/
123,1078,私立,技專校院,致理學校財團法人致理科技大學,Chihlee University of Technology,校長,陳珠龍,新北市,板橋區,22050,新北市板橋區文化路1段313號,02-2257-6167,02-2258-3710,https://www.chihlee.edu.tw/
124,1079,私立,一般大學,康寧學校財團法人康寧大學,University of Kang Ning,校長,陳清溪,臺北市,內湖區,114311,台北市內湖區康寧路三段75巷137號,02-2632-1181,02-2632-8744,http://www.ukn.edu.tw
125,1080,私立,技專校院,宏國學校財團法人宏國德霖科技大學,Hungkuo Delin University of Technology,校長,羅清水,新北市,土城區,23654,新北市土城區青雲路380巷1號,02-2273-3567,02-2273-3995,https://w5.hdut.edu.tw/app/home.php
126,1081,私立,技專校院,東方學校財團法人東方設計大學,TungFang Design University,校長,蔡匡忠,高雄市,湖內區,82941,高雄市湖內區東方路110號,07-693-2011,07-693-1611,http://www.tf.edu.tw/
127,1082,私立,技專校院,崇右學校財團法人崇右影藝科技大學,Chungyu University of Film and Arts,校長,蕭源都,基隆市,信義區,20103,基隆市信義區義七路40號,02-2423-7785,02-2429-3639,http://www.cufa.edu.tw
128,1083,私立,技專校院,臺北海洋學校財團法人臺北海洋科技大學,Taipei University of Marine Technology,校長,林俊彥,新北市,淡水區,25172,新北市淡水區濱海路三段150號,02-2805-9999,02-2805-2796,https://www.tumt.edu.tw/
129,1084,私立,技專校院,亞東學校財團法人亞東科技大學,Asia Eastern University of Science and Technology,校長,黃茂全,新北市,板橋區,22061,新北市板橋區四川路二段58號,02-7738-8000,02-7738-2678,https://www.aeust.edu.tw/
130,1125,私立,一般大學,中信金融管理學院,CTBC Business School,校長,施光訓,臺南市,安南區,709301,臺南市安南區台江大道3段600號,06-287-3335,06-287-3536,http://www.ctbc.edu.tw/
131,1148,私立,技專校院,大漢學校財團法人大漢技術學院,Dahan Institute of Technology,校長,姚國山,花蓮縣,新城鄉,97145,花蓮縣新城鄉大漢村樹人街1號,03-821-0888,03-826-2916,https://rpage.dahan.edu.tw/
132,1159,私立,技專校院,和春技術學院,Fortune Institute of Technology,校長,林裕益,高雄市,大寮區,83160,高雄市大寮區琉球里至學路288號,07-262-1941,07-788-4341,http://www.fotech.edu.tw
133,1168,私立,技專校院,南亞科技學校財團法人南亞技術學院,Nanya Institute of Technology,校長,連信仲,桃園市,中壢區,32091,桃園市中壢區中山東路三段414號,03-436-1070,03-438-8198,http://www.nanya.edu.tw
134,1183,私立,技專校院,黎明技術學院,Lee-Ming Institute of Technology,校長,林明芳,新北市,泰山區,24305,新北市泰山區泰林路三段22號,02-2909-7811,02-2296-8323,https://www.lit.edu.tw/
135,1185,私立,技專校院,經國管理暨健康學院,CHING KUO INSTITUTE OF MANAGEMENT AND HEALTH,校長,翁進坪,基隆市,中山區,203301,基隆市中山區復興路336號,02-2437-2093,02-2437-6209,https://www.cku.edu.tw
